""
""
AMPUTAÃ‡ÃƒO/DESARTICULAÃ‡ÃƒO DE PODODÃ�CTILOS - TRATAMENTO CIRÃšRGICO,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
ARTRITE OU OSTEOARTRITE DOS OSSOS DO PÃ‰ (INCLUI OSTEOMIELITE) - TRATAMENTO CIRÃšRGICO,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
ARTRODESE AO NÃ�VEL DO TORNOZELO - TRATAMENTO CIRÃšRGICO,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
ARTRODESE DE JOELHO - TRATAMENTO CIRÃšRGICO,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
ARTRODESE DE TARSO E/OU MÃ‰DIO PÃ‰ - TRATAMENTO CIRÃšRGICO,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
ARTRODESE METATARSO - FALÃ‚NGICA OU INTERFALÃ‚NGICA - TRATAMENTO CIRÃšRGICO,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
ARTROPLASTIA DE TORNOZELO (COM IMPLANTE) - TRATAMENTO CIRÃšRGICO,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
ARTROPLASTIA TOTAL DE JOELHO COM IMPLANTES - TRATAMENTO CIRÃšRGICO,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
ARTRORRISE DO TORNOZELO - TRATAMENTO CIRÃšRGICO,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
ARTROTOMIA - TRATAMENTO CIRÃšRGICO,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
BIÃ“PSIA CIRÃšRGICA DE FÃŠMUR,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
BIÃ“PSIA CIRÃšRGICA DE JOELHO,,,,Seg. Ambulatorial,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
BIÃ“PSIA CIRÃšRGICA DE TÃ�BIA OU FÃ�BULA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
PROCEDIMENTO,"RN
(alteraÃ§Ã£o)",VIGÃŠNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÃ�TULO
BIÃ“PSIA CIRÃšRGICA DO TORNOZELO,,,,Seg. Ambulatorial,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
BIÃ“PSIA CIRÃšRGICA DOS OSSOS DO PÃ‰,,,,Seg. Ambulatorial,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
CORREÃ‡ÃƒO DE DEFORMIDADE Ã“SSEA CONGÃŠNITA OU ADQUIRIDA COM FIXADOR EXTERNO,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
CORREÃ‡ÃƒO DE DEFORMIDADES DO PÃ‰ COM FIXADOR EXTERNO DINÃ‚MICO - TRATAMENTO CIRÃšRGICO,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
DESARTICULAÃ‡ÃƒO DE JOELHO - TRATAMENTO CIRÃšRGICO,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
DESCOLAMENTO EPIFISÃ�RIO (TRAUMÃ�TICO OU NÃƒO) - REDUÃ‡ÃƒO INCRUENTA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
DESCOLAMENTO EPIFISÃ�RIO (TRAUMÃ�TICO OU NÃƒO) - TRATAMENTO CIRÃšRGICO,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
ENCURTAMENTO DE FÃŠMUR - TRATAMENTO CIRÃšRGICO,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
ENCURTAMENTO DOS OSSOS DA PERNA - TRATAMENTO CIRÃšRGICO,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
EPIFISIODESE - TRATAMENTO CIRÃšRGICO,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
EPIFISIODESE DE TÃ�BIA / FÃ�BULA - TRATAMENTO CIRÃšRGICO,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
FASCIOTOMIA OU RESSECÃ‡ÃƒO DE FASCIA PLANTAR,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
FRATURA E/OU LUXAÃ‡ÃƒO DE PATELA - TRATAMENTO CIRÃšRGICO,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
FRATURA E/OU LUXAÃ‡ÃƒO DE PATELA (INCLUSIVE OSTEOCONDRAL) - REDUÃ‡ÃƒO INCRUENTA,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
FRATURA E/OU LUXAÃ‡Ã•ES DO PÃ‰ (EXCETO ANTEPÃ‰) - REDUÃ‡ÃƒO INCRUENTA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
FRATURA E/OU LUXAÃ‡Ã•ES DO PÃ‰ (EXCETO ANTEPÃ‰) - TRATAMENTO CIRÃšRGICO,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
FRATURAS DE FÃŠMUR - REDUÃ‡ÃƒO INCRUENTA,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
FRATURAS DE FÃŠMUR - TRATAMENTO CIRÃšRGICO,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
FRATURAS DE FÃ�BULA - (INCLUI DESCOLAMENTO EPIFISÃ�RIO) - REDUÃ‡ÃƒO INCRUENTA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
PROCEDIMENTO,"RN
(alteraÃ§Ã£o)",VIGÃŠNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÃ�TULO
FRATURAS DE FÃ�BULA (INCLUI O DESCOLAMENTO EPIFISÃ�RIO) - TRATAMENTO CIRÃšRGICO,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
"FRATURAS DE TÃ�BIA ASSOCIADA OU NÃƒO A FÃ�BULA (INCLUI DESCOLAMENTO EPIFISÃ�RIO) - TRATAMENTO
CIRÃšRGICO",,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
FRATURAS DE TÃ�BIA E FÃ�BULA (INCLUI DESCOLAMENTO EPIFISÃ�RIO) - REDUÃ‡ÃƒO INCRUENTA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
FRATURAS E/OU LUXAÃ‡Ã•ES AO NÃ�VEL DO JOELHO - REDUÃ‡ÃƒO INCRUENTA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
FRATURAS E/OU LUXAÃ‡Ã•ES AO NÃ�VEL DO JOELHO - TRATAMENTO CIRÃšRGICO,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
FRATURAS E/OU LUXAÃ‡Ã•ES AO NÃ�VEL DO TORNOZELO - REDUÃ‡ÃƒO INCRUENTA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
FRATURAS E/OU LUXAÃ‡Ã•ES AO NÃ�VEL DO TORNOZELO - TRATAMENTO CIRÃšRGICO,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
FRATURAS E/OU LUXAÃ‡Ã•ES DO ANTEPÃ‰ - REDUÃ‡ÃƒO INCRUENTA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
FRATURAS E/OU LUXAÃ‡Ã•ES DO ANTEPÃ‰ - TRATAMENTO CIRÃšRGICO,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
"FRATURAS, PSEUDARTROSES, CORREÃ‡ÃƒO DE DEFORMIDADES E ALONGAMENTOS COM FIXADOR EXTERNO
DINÃ‚MICO - TRATAMENTO CIRÃšRGICO",,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
LESÃ•ES LIGAMENTARES AGUDAS - REDUÃ‡ÃƒO INCRUENTA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
LESÃ•ES LIGAMENTARES AGUDAS - TRATAMENTO CIRÃšRGICO,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
LESÃ•ES LIGAMENTARES AGUDAS AO NÃ�VEL DO TORNOZELO - REDUÃ‡ÃƒO INCRUENTA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
LESÃ•ES LIGAMENTARES AGUDAS AO NÃ�VEL DO TORNOZELO - TRATAMENTO CIRÃšRGICO,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
LESÃ•ES LIGAMENTARES CRÃ”NICAS AO NÃ�VEL DO TORNOZELO - TRATAMENTO CIRÃšRGICO,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
LESÃ•ES LIGAMENTARES PERIFÃ‰RICAS CRÃ”NICAS - TRATAMENTO CIRÃšRGICO,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
LIBERAÃ‡ÃƒO LATERAL E FACECTOMIAS EM JOELHO,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
MENISCORRAFIA,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
OSTEOMIELITE DOS OSSOS DA PERNA - TRATAMENTO CIRÃšRGICO,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
PROCEDIMENTO,"RN
(alteraÃ§Ã£o)",VIGÃŠNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÃ�TULO
OSTEOTOMIA OU PSEUDARTROSE DO TARSO E MÃ‰DIO PÃ‰ - TRATAMENTO CIRÃšRGICO,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
OSTEOTOMIA OU PSEUDARTROSE DOS METATARSOS/FALANGES - TRATAMENTO CIRÃšRGICO,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
OSTEOTOMIAS AO NÃ�VEL DO JOELHO - TRATAMENTO CIRÃšRGICO,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
OSTEOTOMIAS E/OU PSEUDARTROSES - TRATAMENTO CIRÃšRGICO,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
REALINHAMENTOS DO APARELHO EXTENSOR EM JOELHO,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
RECONSTRUÃ‡Ã•ES LIGAMENTARES DO PIVOT CENTRAL DE JOELHO,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
RESSECÃ‡ÃƒO DE OSSO DO PÃ‰,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
REVISÃ•ES DE ARTROPLASTIA TOTAL - TRATAMENTO CIRÃšRGICO,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
REVISÃ•ES DE REALINHAMENTOS DO APARELHO EXTENSOR EM JOELHO,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
REVISÃ•ES DE RECONSTRUÃ‡Ã•ES INTRA-ARTICULARES DE JOELHO,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
ROTURA DO TENDÃƒO DE AQUILES - REDUÃ‡ÃƒO INCRUENTA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
ROTURA DO TENDÃƒO DE AQUILES - TRATAMENTO CIRÃšRGICO,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
TOALETE CIRÃšRGICA - CORREÃ‡ÃƒO DE JOELHO FLEXO,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
TRANSPLANTE AUTÃ“LOGO EM JOELHO,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
TRANSPOSIÃ‡ÃƒO DE FÃ�BULA/TÃ�BIA,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
TRATAMENTO CIRÃšRGICO DA ARTRITE SÃ‰PTICA,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
TRATAMENTO CIRÃšRGICO DA OSTEOCONDRITE DE TORNOZELO,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
TRATAMENTO CIRÃšRGICO DA OSTEOMIELITE,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
"TRATAMENTO CIRÃšRGICO DA SINDACTILIA SIMPLES, COMPLEXA OU MÃšLTIPLA",,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
PROCEDIMENTO,"RN
(alteraÃ§Ã£o)",VIGÃŠNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÃ�TULO
TRATAMENTO CIRÃšRGICO DE ARTRITE OU OSTEOARTRITE,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
TRATAMENTO CIRÃšRGICO DE DEFORMIDADES DOS DEDOS,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
TRATAMENTO CIRÃšRGICO DE EPIFISITES E TENDINITES,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
TRATAMENTO CIRÃšRGICO DE GIGANTISMO EM PÃ‰,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
"TRATAMENTO CIRÃšRGICO DE LESÃƒO AGUDA DE LIGAMENTO COLATERAL DE JOELHO, ASSOCIADA A
LIGAMENTO CRUZADO E MENISCO",,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
TRATAMENTO CIRÃšRGICO DE LESÃ•ES AGUDAS E/OU LUXAÃ‡Ã•ES DE MENISCOS,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
TRATAMENTO CIRÃšRGICO DE LESÃ•ES INTRÃ�NSECAS OU COMPLEXAS DE JOELHO,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
TRATAMENTO CIRÃšRGICO DE LINFEDEMA AO NÃ�VEL DO PÃ‰,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
"TRATAMENTO CIRÃšRGICO DE POLIDACTILIA SIMPLES, COMPLEXA OU MÃšLTIPLA",,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
TRATAMENTO CIRÃšRGICO DO HALLUX VALGUS,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
TRATAMENTO CIRÃšRGICO DO MAL PERFURANTE PLANTAR,,,,Seg. Ambulatorial,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
TRATAMENTO CIRÃšRGICO DO PÃ‰ PLANO/PÃ‰ CAVO/COALISÃƒO TARSAL,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
TRATAMENTO CIRÃšRGICO DO PÃ‰ TORTO CONGÃŠNITO COM OU SEM FIXADOR EXTERNO,,,,,HCO,HSO,REF,,,MEMBROS INFERIORES,"SISTEMA MÃšSCULO-ESQUELÃ‰TICO E
ARTICULAÃ‡Ã•ES",PROCEDIMENTOS CIRÃšRGICOS E INVASIVOS
